疾病名称,诊断
婴儿湿疹,"婴儿湿疹诊断时，需要做哪些检查？
婴儿湿疹可直接根据皮疹的形态来诊断，一般不需要特殊检查。
医生会详细询问病史、家族史，结合临床表现和全面体检进行诊断。
皮肤活检和实验室检查（包括IgE水平测定）：并未常规用于评估疑似患儿，目前也不推荐使用。对于特定患者，皮肤活检的组织学检查或其他实验室检查（如，血清 IgE、斑贴试验和基因检测）可能有助于排除其他皮肤病。
婴儿湿疹什么情况下需要做和过敏有关的检查？
以下情况出现其一或全部出现，建议进行过敏原检查：
湿疹比较严重，而且患处感染面积较大时，使用糖皮质激素药膏治疗后，病情仍持续。
家族成员有过敏性疾病史，则宝宝更应注意是否接触某些物品或者吃了某些食物，立即出现过敏症状，一旦出现过敏需要进行过敏原检查。
婴儿湿疹容易和哪些疾病混淆？
婴儿湿疹应注意和脂溢性皮炎、接触性皮炎等疾病鉴别。
脂溢性皮炎：一般出现在皮脂腺分布较多的部位，比如脸部的脂溢性皮炎主要发生在眉眼、额头、鼻子周围，头皮部位也是脂溢性皮炎的多发区。
脂溢性皮炎会分泌较多的黄色脂肪样分泌物伴有脱屑。有时脂溢性皮炎会和湿疹同时存在。
接触性皮炎：接触性皮炎是在皮肤和刺激物接触部位发生的皮肤炎症。而婴儿湿疹范围通常比较广泛，左右对称分布。"
小儿鼻炎,"怎么确定得了小儿鼻炎？
具有一种或多种下列症状：鼻痒、鼻塞、打喷嚏、流鼻涕时可以考虑为小儿鼻炎。
如果症状符合相应的变应性鼻炎、非变应性鼻炎、感染性鼻炎或其它情况，则需要根据临床线索进一步明确原因。
怀疑小儿鼻炎，可以做哪些检查？
鼻内镜检查：鼻内窥镜对于鼻炎的类型及诊断有指导意义。
血清总 IgE、特异性 IgE 和皮肤点刺试验：病史和过敏原检查相符合能诊断变应性鼻炎，对了解患儿有无特应性体质等也有一定参考价值。
病原学检查：对于感染性鼻炎，如果有明确病因的需要，可以进行一些抗原、抗体和培养检查，以指导用药。
小儿鼻炎容易和哪些疾病混淆？怎么区分？
鼻中隔偏曲
：鼻中隔偏曲以鼻塞为主要症状，常为单侧，可伴有头痛，鼻中隔偏曲患者不一定有流鼻涕、打喷嚏，鼻窦 C T或鼻内镜检查可鉴别。
鼻息肉
：鼻息肉往往伴发于鼻窦炎，也有单纯性鼻息肉患者，常常为患有息肉的病侧鼻塞，鼻塞可为单侧也可双侧，视息肉的生长情况及部位而定，鼻窦 CT 或鼻内镜检查可鉴别。
鼻腔鼻窦的肿瘤
：鼻塞、鼻出血为主要症状，其鼻塞可为单侧或者双侧，鼻炎鼻塞常常为双侧，且一般不伴有鼻出血，鼻窦 CT 或鼻内镜检查可鉴别。
脑脊液鼻漏
：脑脊液漏可引起一种或多种鼻部症状，通常导致单侧或双侧清稀的鼻分泌物，无鼻腔黏膜炎症的症状和体征。脑脊液鼻漏可由颅骨或鼻骨骨折、颅内手术，以及蝶鞍肿块向下扩展引起，鼻窦 CT 检查可鉴别。
正常鼻反射：鼻腔粘膜组织受广泛的神经支配。多种鼻反射会引起反复鼻塞、流鼻涕、打喷嚏的症状表现，类似于鼻炎。常见的正常鼻反射包括：
姿势反射
：仰卧位时，鼻充血增加，鼻充血主要表现为鼻塞；侧卧位时，较低一侧的鼻道充血增加。鼻塞会随体位改变而变化，此点可与鼻炎相鉴别。
冷和热皮肤温度反射
：皮肤突然暴露于极热或极冷环境时出现打喷嚏的症状，与变应性鼻炎暴露于过敏原而引起的喷嚏、清水样涕症状不同。
可见光和红外光反射
：突然暴露于亮光时出现打喷嚏。
支气管哮喘
：支气管哮喘可有变应性鼻炎的鼻部症状表现，变应性鼻炎也有可能发展为支气管哮喘。但是，支气管哮喘最常见表现为咳嗽和哮鸣，亦可伴有呼吸急促、胸闷或胸部压迫感及胸痛。支气管激发试验可鉴别，另外，胸片或胸部 CT 检查对于诊断也有鉴别意义。
百日咳、肺炎
等：急性上呼吸道感染虽然也有可能有咳嗽表现，但百日咳、肺炎咳嗽严重，鼻部症状较轻，这与胸片、病原学检查可鉴别。
流行性感冒
：流感症状与急性上呼吸道感染相似，但其症状严重，具有高热（通常 > 39 ℃）。"
新生儿黄疸,"新生儿皮肤发黄就是黄疸了吗？
基本上是。
严格意义上，新生儿黄疸应当称为新生儿高胆红素血症，确诊必须有「胆红素值升高」，进而导致皮肤、巩膜（即眼白）出现了黄染。
新生儿由于饮食等其他因素导致皮肤黄染的可能性微乎其微，所以新生儿皮肤逐渐出现黄染时，基本能确定是由于胆红素升高所致，就可以称为新生儿黄疸。
新生儿黄疸的宝宝可使用哪些检查帮助确定黄疸的严重程度？
血清总胆红素值（TSB）：是诊断高胆红素血症的金标准（即能最直观、最准确的能够体现血液中胆红素值水平的检查），是直接胆红素（结合胆红素）与间接胆红素的总和
[2]
。
经皮胆红素值（TcB）：为无创性检查，用黄疸仪照一下皮肤就能测得。
直接胆红素与间接胆红素两者有什么区别？
两者的实质区别就在于是否顺利经过了肝脏的「改造」，间接胆红素是原始状态，直接胆红素是已改造状态。
在胆红素通过肝脏之前，它游离于血液之中，被称为未结合胆红素，即间接胆红素，它呈脂溶性，不溶于水，从而不能通过肾脏及胆汁排出体外
[1]
。
一旦经过了肝脏的「改造」，它在肝脏的牵线搭桥之下，由于与其他物质的「合体」而成了结合胆红素，即直接胆红素，此时，它就成了水溶性的，可以通过大小便排出体外。
临床上大多数的新生儿黄疸以间接胆红素升高为主，假若血中直接胆红素值明显升高，需要警惕肝胆方面的问题。
新生儿生理性黄疸怎么确诊？
生理性黄疸是新生儿发育过程中的一种正常现象，其胆红素升高是一过性的、暂时的，往往可以自行消失。
但由于影响黄疸程度的因素实在太多，生理性黄疸其实很难有一个统一的诊断标准，它只能是一个排他性的诊断，只有在完全排除了病理性的因素后，才可确诊。
常用的生理正常值为：足月儿经皮胆红素值 < 12.9 mg/dl；早产儿 < 15.0 mg/dl
[5]
。
新生儿母乳性黄疸怎么确诊？
目前母乳性黄疸的确诊缺乏直观的实验室检查手段。主要依靠以下几点来诊断
[4]
：
是纯母乳喂养或以母乳喂养为主的新生儿；
黄疸的表现符合母乳性黄疸的特点；
患儿一般情况良好，精神食欲正常，生长发育良好；
最重要的是停母乳 48 h～72 h 天后，患儿黄疸明显消退，血胆红素值迅速下降 30%～50%，恢复母乳喂养后黄疸再次加重。"
小儿腹泻,"如何判断孩子腹泻的严重程度？
首先，可以关注脱水程度，正常情况下，腹泻引起的脱水可分为轻、中、重度三种：
轻度脱水：孩子的精神情况良好，两眼窝稍有下陷，哭时有眼泪，尿量基本正常，捏起腹部或大腿内侧皮肤后回缩比较快。
中度脱水：孩子会有口渴的症状，主动想喝水，婴儿会四处找奶头，如果得到奶瓶，会拼命吸吮；啼哭时泪少，尿量及次数也减少；可看见孩子两眼窝下陷，口舌干燥，捏起腹壁及大腿内侧皮肤后回缩较慢。
重度脱水：孩子会表现为精神极度萎靡、昏睡，甚至昏迷；口渴非常严重，啼哭时无泪流出，尿量及小便次数明显数少。可看见孩子两眼窝明显下陷，口舌非常干燥；捏起腹壁及大腿内侧皮肤后回缩很慢。
一般来说，大便越频繁、大便越稀所引起的脱水越重。但是，有些细菌性腹泻每次大便量不多，大便含有粘液样物质，每次大便完都还想再大便（宝宝可能即使没有便便也会长时间蹲、坐在马桶上不愿意起来），我们称之为「里急后重」，这种腹泻也应该引起重视。
其次，如果腹泻伴有严重腹痛、大便为果酱样大便，孩子出现不能安抚的哭闹、呕吐（最初呕吐物不含胆汁，但当病情进展时会出现呕吐胆汁样物质）等情况，这是肠套叠的表现，是儿科的急症，家长必须立即送孩子到医院救治。
因此，当发现孩子有脱水的表现时，要注意适当补充水分。如果脱水程度为中、重度，或者伴有持续腹痛、如厕后不能缓解等情况，建议及时送孩子去儿科门诊或肠道门诊就诊。
诊断小儿腹泻时，需要做哪些检查？
小儿腹泻不难诊断，难的是腹泻病因的判别。可通过血常规、粪便常规、粪便隐血等明确可能的腹泻类型。进而结合病史给出诊断
[1]
。必要时需要进行腹部超声、CT检查，排除其他原发疾病。"
新生儿肺炎,"新生儿肺炎如何诊断？
首先要有临床表现，包括典型的肺炎呼吸异常相关表现，和非特异性（不像肺炎）的表现。因此新生儿只要存在突发的呼吸异常或其他疾病表现就应进行肺炎评估。
其次可通过行胸部 X 片进一步明确，还需要痰、胸腔积液、血液或脑脊液等培养，及相关病原学检测，明确感染病原，协助诊疗。
新生儿肺炎时胸片拍摄，对新生儿有没有影响？
胸片对于新生儿肺炎的诊断意义重大，另外对于判断治疗效果也起着非常重要的作用，而且一次胸片拍摄的放射量非常小，目前没有证据表明会对人的身体健康造成直接影响。
新生儿肺炎时抽血化验对新生儿身体有影响吗？
目前临床化验所需要的血量一般都很小，一般只需要几毫升即可，因此临床化验抽血对新生儿身体健康没有任何影响，抽血化验的指标对于新生儿肺炎的诊断及治疗效果评估也有很重要的意义。"
鼻炎,"鼻炎需要做哪些检查来诊断？
若出现鼻炎相关症状后，医生会建议做以下检查来明确是否患有鼻炎或是何种类型的鼻炎：
鼻镜检查：包括前鼻镜检查和鼻内镜检查，可以观察鼻部、鼻黏膜、鼻子分泌物的情况，不同类型的鼻炎，鼻镜检查结果也不同，例如变应性鼻炎患者鼻黏膜表现为苍白、水肿，亦可表现为充血或浅蓝色。
血常规检查：主要是为了观察血细胞数目有无异常，判断是否存在感染的可能性，辅助诊断。
影像学检查：CT 和 X 线等影像学检查，主要是为了观察鼻部的结构有无异常，排除其他疾病的干扰，辅助诊断。
过敏原检测：并非所有鼻炎都需要做该检查，一般怀疑是过敏引起的鼻炎时考虑进行此项检查。
鼻炎与鼻窦炎有什么区别？
二者虽然只有一字之差，但具体的病变部位不一样：
鼻腔就像客厅，而鼻窦则是与客厅相通的小房间。鼻炎是「客厅」的炎症，鼻窦炎是各个「房间」的炎症，二者可以互相影响，但治疗方法不完全一样。医生也会根据具体的病变部位来鉴别二者。"
手足口病,"手足口病患者前驱症状是什么？
如果发现孩子手掌、足掌、膝关节、肘关节、口腔有疱疹，同时出现发热的表现，那么应该警惕孩子可能患了手足口病，应尽快前往医院就诊明确诊断
[1]
。另外患者的流行病学史也很重要，需要注意近期的密切接触史、曾去地、旅行史等是否发生手足口病爆发。
手足口病应该查什么？
普通病例主要查血常规（多数病例白细胞计数正常，部分病例白细胞计数、中性粒细胞比例及 C -反应蛋白可升高。）、病原学检查可通过咽拭子检查，查明病原体类型
[1]
。
合并神经系统表现时，需结合影像学检查，如头颅 MRI、脑电图判断是否有脑功能衰竭，如脑水肿等；心脏超声、心肌酶、胸片等判断是否有心肺功能损伤，如心动过速、肺水肿等；病情危重者的肌钙蛋白、血糖、乳酸会升高
[1]
。
手足口病的病原通过哪些检查可以确定？
医生会根据病情，判断是否需要行病原学检查，检测患者鼻咽、肛黏膜、粪便、疱疹液、脑脊液等处的病原体特异性核酸，或急性期血清的 IgM 抗体检测
[1]
。一般来说，大多数手足口病不需要明确病原，对治疗并无帮助。
在临床诊断病例基础上，病原学检查，如果具有下列之一者即可确诊：
肠道病毒(柯萨奇病毒 A 组 16、肠道病毒 71 型等）特异性核酸检查阳性。
分离出肠道病毒，并鉴定为柯萨奇病毒 A 组 16、肠道病毒 71 型或其他可引起手足口病的肠道病毒。
急性期血清相关病毒 IgM 抗体阳性。
恢复期血清相关肠道病毒的中和抗体比急性期有 4 倍及以上升高。
手足口病为什么要做磁共振？
手足口病有时可引起脑干脑炎、脑脊髓炎等神经系统的问题，头颅核磁共振（头颅 MRI）可反映这些病变，对于疾病的评估及后期随访均具有重要的意义
[1]
。
手足口病什么情况下需要做腰椎穿刺？
对于伴有惊跳、肢体抖动、头痛、呕吐等神经系统表现的患者需要进行腰椎穿刺，明确是否合并脑炎、脑膜脑炎，它与头颅磁共振、脑电图互相不能替代。
所有的操作都是有风险的，但腰椎穿刺属于医师掌握的基本操作之一，一般情况下风险不大，同时风险在一定程度上是可控的。"
痱子,"痱子如何诊断？
医生在诊断痱子时，主要看是否是炎热季节或者有近期出汗史，并参考病人的临床症状。具体如下
[2]
：
若是晶形粟粒疹，体格检查应发现多个表浅透明水疱，不伴炎症。
若是红色粟粒疹，则有非毛囊性的红色丘疹、丘疱疹或脓疱。
若是深部粟粒疹，则为红色至肤色的坚硬丘疹，且丘疹也应该为非毛囊性的。
如果是严重或复发病例，可能需要进行活检以确认诊断。
痱子容易和哪些疾病混淆？怎么区分？
痱子可与夏季皮炎、毛囊炎、湿疹、痤疮混淆。它们都可以出现丘疹，但是一般可从发病特点上得以区分，具体如下：
痱子：痱子的皮损多见于头、面和褶皱部位（如腋窝、腹股沟等），主要见于儿童，尤其是婴幼儿，常表现为密集的针头大小的丘疹、丘疱疹或小脓疱，可在天气转凉后好转
[2,4]
。
夏季皮炎：夏季皮炎的皮损多见于躯干、四肢，主要见于成人，常表现为大片红斑上有丘疹、丘疱疹，剧痒
[4]
。
毛囊炎：毛囊炎的皮损多见于头面部、颈部、臀部及外阴，为局限于毛囊口的化脓性炎症表现
[1]
。
湿疹：湿疹的皮损多见于面、耳、手、足、小腿、外阴、肛门等部位，以红斑、丘疹、丘疱疹为主，常对称分布。急性期有渗出倾向，剧痒；慢性期主要表现苔藓样变，病情时轻时重，容易反复
[1]
。
痤疮：痤疮的皮损多见于面颊、额部，多为对称性分布。
多发生在 15～30 岁青年男女，可表现为毛囊口处的粉刺、丘疹、脓疱和结节、囊肿及瘢痕等。跟温度变化关系不大
[1]
。
婴幼儿（满三周岁之前）痤疮比较罕见，更常见于男孩，表现为痤疮样皮损，包括面部粉刺、丘疹和脓疱通常出现在 3～4 月龄，通常在半岁到 1 岁自行缓解，与雄激素水平下降有关
[5,6]
。
具体是哪一种皮肤病，还需要由专科医生来明确诊断，不可自行用药，以免延误病情。"
抽动障碍,"抽动障碍如何确诊？
医生很难通过一些特异性指标进行判断，主要通过观察病人的抽动发作的具体表现或者通过患者家长或 患者描述症状，来确认是否患这种病。目前没有任何检验能够确认本病的诊断。有些医生要求做一些检查（如血液微量元素测定、脑电图、脑部核磁共振或 CT 等）以便排除其他疾病或药物所致
[3]
。
抽动障碍一般需要做哪些检查？
首次去医院，医生会通过一些量表进行心理测定，还会进行血液微量元素测定，如血铁、锌、钙、镁、铅等。有条件的医院可进行儿童脑电图、神经影像学（如磁共振和 CT）等检查。
心理测定：抽动障碍常常会伴有其他心理行为障碍，如注意缺陷多动障碍、强迫障碍，也会出现一些情绪和行为问题，如破坏性行为、攻击行为、易怒等。通过量表进行心理测定，可以帮助我们更加准确地了解心理状态
[6]
。
血液微量元素：目前，我们尚缺乏有效证据来确定抽动障碍与血微量元素的具体关系。但有相关研究显示，相比正常健康人群，患有抽动障碍的人群血清铅偏高、血清锌、铁偏低，这也许与不良饮食习惯以及有害生活环境有关
[8]
。
脑电图：可以了解脑电活动是否正常。一般来说，患有抽动障碍不会引起脑电图检查结果异常，仅有少数可见脑电图轻度异常，但无特征性，这有助于和癫痫发作相鉴别
[3]
。
神经影像学检查：检查大脑内有没有肿瘤、创伤、血管畸形等。常做项目包括磁共振和 CT，磁共振要优于 CT。"
电解质紊乱,"电解质紊乱怎么诊断？
抽血化验进行离子组合，有些医院称之为电解质化验，或者是进行动脉血气分析化验，就可以确定是否存在电解质紊乱了。
诊断了电解质紊乱常常还要进行病因的查找，有时需要留取 24 小时的尿液检查、进行一些内分泌激素的化验等。
进行血气分析的时候会有可以忍受的疼痛，很快就会完成，这一点不需要担心。
血气分析对于诊断电解质紊乱，特别是电解质紊乱伴有酸碱平衡紊乱、呼吸功能受到影响时很重要的一个检查项目，病人越处于放松状态，疼痛感越轻，在抽血过程中避免过度呼吸和屏气，以免影响血气分析的结果。
电解质紊乱做血气分析或抽血检查有什么注意事项？
做血气分析时，患者要注意自己的情绪状态，避免因紧张造成过度换气、屏气、呕吐或哭泣而影响血气指标出现偏差，在患者全身放松、保持舒适的姿势，平躺在床上或坐在舒适的椅子上 5 分钟以上或待呼吸平稳后再进行抽血。
不同温度下血气分析的结果会有不用，抽血前需测量患者体温，在化验单上注明患者的实际体温，以便实验室测定时用仪器温度校正，保证测定结果的准确性。患者接受鼻导管吸氧或呼吸机给氧状态下，要有足够的时间保证达到「稳定状态」后方可采血。
如果病情许可，最好停止吸氧 30 分钟后抽血，否则注明吸氧浓度，以便更好地分析结果。
有些药物可影响血气分析的结果，如脂肪乳，故应在输注脂肪乳剂类药物之前取血，或输完 12 小时后；碱性药物、大剂量青霉素钠盐、氨苄青霉素等药物经静脉进入人体后，会引起酸碱度的暂时变化，影响真实的结果，建议最好应在用药前 30 分钟进行采血。
电解质紊乱容易和哪些疾病混淆？怎么区分？
很多疾病都可以导致电解质紊乱，所以当出现了电解质紊乱，在病因的鉴别上，区分不同的病因是比较重要的。
以低钠血症为例，根据患者具体的情况，比如进一步进行尿渗透压和尿电解质的化验，以及相应的内分泌激素水平的化验，来做进一步的病因的区分和鉴别。
当尿渗透压明显降低，则考虑原发性烦渴、低渗性液体摄入过多，过多的喝入啤酒等等；
当尿渗透压明显增高，进一步查尿钠水平，如果尿钠水平明显减低，则考虑心脏衰竭，肝硬化，肾病综合征等等。
如果尿钠水平明显升高，如果存在有利尿剂的使用，则考虑利尿剂性肾病，如果没有则考虑抗利尿激素分泌不适当综合征，肾上腺皮质功能不全，甲状腺功能减低等等情况。"
