疾病名称,症状
婴儿湿疹,"婴儿湿疹有哪些常见表现？
婴儿湿疹可根据皮疹特点分为两型，渗出型及干燥型。
渗出型的湿疹：
多发生于胖宝宝。
表现为皮肤红斑，边缘模糊，红斑上密集针尖大小突起的皮疹、顶部有水泡的丘疱疹、水疱和渗液。
渗液干燥后则形成黄色厚薄不一的痂皮，常因剧痒、搔抓、摩擦而致部分痂剥脱，显露有多量渗液的鲜红糜烂面。
以脸颊多见，重者可累及整个面部及头皮。
如有继发感染，可出现脓疱、局部淋巴结肿大、发热等症状。
干燥型的湿疹：
常见于瘦宝宝。
表现为淡红色或暗红色斑片、密集小丘疹，无水疱，皮肤干燥无明显渗出，表面附有灰白色糠状鳞屑。
常累及面部、躯干和四肢。
反复发作时亦可见轻度皮肤增厚、皲裂、抓痕或结血痂。
分类
渗出型湿疹
干燥型湿疹
特点
多发生于胖宝宝
常见于瘦宝宝
表现
皮肤红斑，边缘模糊，红斑上密集针尖大小突起的皮疹、顶部有水泡的丘疱疹、水疱和渗液。渗液干燥后则形成黄色厚薄不一的痂皮，常因剧痒、搔抓、摩擦而致部分痂剥脱，显露有多量渗液的鲜红糜烂面。
淡红色或暗红色斑片、密集小丘疹，无水疱，皮肤干燥无明显渗出，表面附有灰白色糠状鳞屑
常见部位
面颊，重者可累及整个面部及头皮
常累及面部、躯干和四肢
并发症状
如有继发感染，可出现脓疱、局部淋巴结肿大、发热等症状
反复发作时亦可见轻度皮肤增厚、皲裂、抓痕或结血痂
婴儿湿疹会有什么严重的危害？
婴儿湿疹由于比较痒，可能给宝宝的生活和睡眠带来一些影响，宝宝吃不好、睡不好、玩不好，则可能对宝宝的生长发育带来一定的影响。也有些宝宝因为瘙痒哭闹、脾气暴躁。
另外，由于湿疹宝宝皮肤的屏障功能存在问题，特别在湿疹发作时，容易引起皮肤细菌感染，给宝宝带来一定的危险。"
小儿鼻炎,"小儿鼻炎有哪些常见表现？
变应性鼻炎
主要症状为鼻痒、打喷嚏、流清涕，亦可有鼻塞、眼痒、咽痒、皮肤痒等症状。
非变应性鼻炎
的主要症状为鼻塞和鼻后滴漏，亦可有喷嚏。
感染性鼻炎
除了打喷嚏、鼻塞和流鼻涕等鼻部症状外，还有咽痛、咳嗽、低热、头痛等上呼道感染的症状表现。
小儿鼻炎亦可并发中耳炎，出现听力下降、耳堵塞感；或并发扁桃体炎，出现咽痛、打鼾等咽部症状。
小儿鼻炎常发生在哪些部位？
小儿鼻炎常发生在鼻子，可并发出现咽部、耳朵、或下呼吸道症状。
小儿鼻炎是怎么发展的？
小儿鼻炎起病症状比较明显，多为鼻部症状为主，但如果治疗不当，症状控制不佳，容易反复反作，迁延成慢性病程，反复发作。
小儿鼻炎有哪些并发症？
由于耳鼻咽喉在解剖位置上的邻近关系，故此小儿鼻炎可以并发鼻窦炎；或者耳部病变，如中耳炎；咽喉疾病如扁桃体炎、腺样体肥大等。
并且，鼻子作为上呼吸道组成部分，可以并发下呼吸道感染，如支气管肺炎等。
另外，变应性鼻炎是一种过敏性疾病，只是全身过敏发应在鼻部症状表现，其过敏症状进一步进展，可并发哮喘、特应性皮炎等其他系统及部位的过敏症状表现。
小儿鼻炎会影响智力、面容等发育吗？
小儿鼻炎鼻塞改善不佳，患儿张口呼吸，或并发扁桃体炎、腺样体肥大时，张口呼吸，导致大脑血氧不足。
有研究称长期口呼吸与一种特征性的面部发育型相关，认为长期张口吸呼形成腺样体面容，表现为上颌骨变长，腭骨、上切牙突出，但这种相关性尚有争议。
大脑血氧不足，导致发育缓慢、智力下降、上课精神不集中、多动症表现等。"
新生儿黄疸,"新生儿黄疸患儿，一般什么时候开始出现黄疸？
生理性黄疸和病理性黄疸出现的时间存在一定的差别
[1]
：
生理性黄疸
：一般在生后 2～3 天开始出现，4～5 天达到高峰，持续 7～10 天左右可消退；
病理性黄疸
：可能出现更早（生后 24 小时内），更快（每天上升幅度超过 5 mg/dl），更高，以及更加持久（黄疸持续时间往往超过 2～4 周，甚至长期不退）。
当然，以上的标准也不是一成不变的，如早产儿的生理性黄疸也可能比正常足月儿来的更早、更高、更持久。
新生儿黄疸中，母乳性黄疸与生理性黄疸表现上有什么区别？
母乳性黄疸与生理性黄疸都会出现皮肤黄染的症状，且新生儿精神、睡眠、发育及大小便正常。生理性黄疸皮肤黄染症状 2 周左右会完全消退；母乳性黄疸若停止母乳喂养，黄疸在 72 小时后明显消退。若继续母乳喂养，持续时间较长，可能会持续 1 个月，甚至持续 3 个月才能逐渐消退
[4]
。
新生儿黄疸会有什么危害？
生理性黄疸：属于正常情况下出现的黄疸，是一种生理现象，不会对新生儿造成伤害。
病理性黄疸：
原发疾病：对于病理性黄疸的患儿，引起黄疸上升的那些「病理性因素」本身就是一种危害，如溶血、肝炎、感染等，严重者会造成神经系统损伤；
胆红素脑病：这是胆红素对宝宝造成的最大损害，胆红素脑病对婴幼儿的神经系统发育、身体健康、生活质量等均可造成严重影响，必须积极预防治疗
[2,5]
。
新生儿黄疸会引起哪些并发症？
肝功能损害
：随着病情的进展，间接胆红素可在肝内蓄积，可对肝细胞造成一定的损伤，引发肝功能轻度损害。表现为乏力、精神萎靡、恶心、呕吐、食欲下降等。
胆红素脑病
：血液中的胆红素含量长时间处于较高水平，可能诱发胆红素脑病，患者可出现中枢神经系统症状，包括嗜睡、反应低下、抽搐等症状。
新生儿黄疸若并发胆红素脑病，患儿会有什么表现？
典型的胆红素脑病的症状，归纳起来有 4 个期；前面 3 期统称为急性胆红素脑病，到达最后 1 期则称为慢性胆红素脑病
[1]
。
警告期
：出生后 1～3 天出现反应偏低，肌张力低下，吃奶欠佳等表现，应引起注意，此期持续约 12～48 小时；
痉挛期
：出现易激惹（即容易被吓到），拒奶，呼吸暂停，肌张力偏高（典型的表现为角弓反张）；严重的可以出现昏迷，甚至死亡。此期持续约 2 周。
恢复期
：一般生后 1 周，前面的症状逐渐消失，恢复正常。
后遗症期
：大多数在 1 岁之前开始陆续出现，表现为运动障碍、听力丧失、眼球转动困难、牙齿发育异常等。
在实际生活中，很多胆红素脑病的患儿由于干预治疗，症状并非像上面这样完全典型，它可能只表现出一部分症状。随着该疾病的知识普及，通过早发现，早治疗，上述重症很少见到。"
小儿腹泻,"什么样的腹泻危害比较大？
危害较大的腹泻一般是侵袭性细菌引起的，包括侵袭性大肠埃希菌、空肠弯曲菌、耶尔森菌、鼠伤寒杆菌等
[1]
。
这类腹泻常可引起痢疾样病变，表现为急性起病，腹泻频繁，大便黏液状带脓血，有腥臭味，腹痛和里急后重感（想解的时候就很急，感觉肛门坠胀，但是拉出来的又很少）。
此外，以下情况的腹泻也要引起重视：疑似霍乱、合并重度脱水、早产儿、合并免疫缺陷病的儿童。
儿童长期腹泻有什么危害？
长期腹泻时，会影响肠道对营养的吸收，出现营养不良表现
[1]
，具体如下：
贫血：由于消化吸收的障碍，蛋白质及其他造血原料的吸收减少，可引起贫血，出现指甲、手掌、皮肤以及口唇和睑结膜等处颜色苍白、疲倦乏力、头晕耳鸣，注意力不集中等贫血症状，浮肿等。
免疫功能低下：各种营养物质的缺乏，使机体对传染病及各种感染的抗病能力减弱，炎症容易扩散，也可使组织再生及外伤愈合能力减弱，受伤后伤口不易愈合。
水、电解质紊乱：腹泻会直接导致肠道对水分的吸收减少，使机体丢失大量水分和电解质。如果丢失超过一定限度，就会出现相应的机体功能紊乱，如缺少钾元素时，可出现心律失常、全身软弱无力、腹胀、呕吐等症状。"
新生儿肺炎,"新生儿肺炎有哪些表现？
根据感染时间的不同，分为早发型肺炎和晚发型肺炎。
早发型肺炎：通常在出生后3日内发生，因在子宫内误吸被污染的羊水、病原体通过胎盘从母体传播给胎儿、产时或产后误吸被污染的羊水。
晚发型肺炎：发生在住院期间或出院后，通过呼吸道、血液循环侵入（血行传播）或医源性途径感染。
早发型肺炎常有呼吸急促、呻吟、口吐泡沫、呼吸暂停、口唇或肢端青紫、咳嗽、发热或低体温、反复吐奶、呛奶、吃奶费力、嗜睡、四肢冰凉有花斑纹等表现。
晚发型肺炎除了有早发型肺炎的表现外，还有喂养困难、腹部膨隆、黄疸、呕吐等非特异性（不像肺炎）的表现。
新生儿肺炎的新生儿呻吟是什么？
新生儿的呻吟很可能是呼气不畅，特征是伴有音调拉长的连续类似「哼哼」声的哀声鸣叫，感觉像是哪里不舒服，这往往是患儿明显呼吸困难的表现，多见于新生儿肺炎较重时。
新生儿肺炎患儿为什么会口吐泡沫？
新生儿唾液腺发育尚不完善，正常情况下唾液很少，但在感染后会出现异常分泌增多，故会出现口吐泡沫，因此如果新生儿出现口腔分泌物增加，如口吐较多泡泡情况时应警惕患肺炎可能。
新生儿肺炎有哪些危险性？
新生儿肺炎如果治疗不及时，严重者可引起呼吸衰竭、心力衰竭、败血症、感染性休克、颅内感染、肺出血、持续肺动脉高压，甚至危及患儿生命。
新生儿肺炎在什么情况提示患儿肺炎较重？
患儿面色较差，尤其是口唇周围明显青紫，精神差，吃奶差，呻吟不止，明显呼吸困难，有点头样呼吸（呼吸时同时伴有点头样动作），全身皮肤呈苍灰色，触摸较为湿冷，尿量明显减少，当出现这些情况时，往往提示新生儿肺炎患儿病情较重，需尽快就医。
新生儿肺炎是否有后遗症？
单纯的新生儿肺炎大多数是可以完全治愈的，但是对于其中一部分肺部感染非常严重的患儿，尤其对于一些严重宫内感染或早产儿，生后治疗时间较长，尤其是呼吸机使用时间较长的患儿，治愈后可能发生支气管肺发育不良，长大后反复呼吸道感染及肺功能损害风险较高。
新生儿肺炎就是鼻塞、打喷嚏吗？
新生儿呼吸道感染可有鼻塞、打喷嚏等临床表现，但单纯的鼻塞、打喷嚏并不一定是新生儿呼吸道感染，新生儿呼吸道粘膜较嫩，在遇到刺激时容易打喷嚏。另外新生儿鼻腔较狭窄，在有鼻涕、鼻屎时，会狭窄得更明显。因此很多新生儿往往会时有鼻塞、打喷嚏等表现，如果患儿没有其他的呼吸道感染的表现，如发热、咳嗽、面色不好、精神反应差、吃奶差、吃奶费力等，可不予处理，上述症状大多于生后 2～3 月后慢慢消失。"
鼻炎,"鼻炎会有哪些症状和表现？
鼻炎的症状主要体现在鼻部的不适，常表现为鼻痒、鼻塞、流鼻涕、打喷嚏等，除此以外，根据不同类型的鼻炎还会有其他部位的症状。
急性鼻炎：多数表现为鼻内干燥、有灼热感，倦怠，头痛或发热等，鼻涕一开始是清水样的，后期若有细菌感染，就会变得粘稠甚至带脓。可能还会出现耳鸣或听力下降等现象。
变应性鼻炎（过敏性鼻炎）：鼻塞、鼻痒、流清水样鼻涕、反复打喷嚏，几个到几十个不等，一般是在接触过敏原后立即发作。
萎缩性鼻炎：嗅觉减退，由于鼻黏膜的萎缩还会有鼻出血、鼻部干燥不适、头痛头昏等症状，部分严重者呼气时能闻到臭味。
药物性鼻炎：主要表现为鼻塞，一般症状会在夜间时加重，静坐时会比活动时加重，鼻子中有分泌物，会感到鼻子干燥不舒服或是有烧灼感。
鼻炎为什么会引起耳闷？
鼻腔后方有管道「咽鼓管」与耳内相通，正常情况下，该管道可开放使鼓膜两侧的气压平衡。
鼻炎发作时，由于鼻黏膜肿胀，鼻部分泌物增多，会堵塞咽鼓管口，甚至引起咽鼓管发炎，使咽鼓管不能正常开放，鼓膜两侧气压不平衡，就会导致耳闷。
鼻炎为什么会引起流眼泪？
变应性鼻炎（过敏性鼻炎）发作时，可以并发眼结膜炎，会有眼痒、流泪的表现。
这是因为，鼻腔内有管道「鼻泪管」与眼相通，正常情况下眼部分泌的泪液经该管道流入鼻腔。而发炎时由于黏膜肿胀导致该管道不通畅，分泌物只好从眼部流出。
鼻炎为什么会引起头痛、头昏？
鼻炎发作时鼻黏膜肿胀，压迫到神经末梢，会引起头痛；
鼻塞造成的大脑缺氧，也会引起头痛、头昏；
萎缩性鼻炎使鼻腔过于宽大，鼻腔的保温保湿功能减退，大量干冷空气刺激鼻黏膜，也会引起头痛。
鼻炎为什么会引起嗅觉下降？
鼻炎引起嗅觉下降的原因主要有：
鼻黏膜肿胀造成通气不畅，含气味颗粒的气体不能到达嗅区黏膜；
鼻腔内有部分区域与嗅神经相连，由于鼻黏膜的萎缩导致相连的嗅神经也萎缩；
慢性鼻炎长期鼻塞，嗅神经长时间接触不到气味刺激，形成「废用性萎缩」。
鼻炎会有哪些严重后果？
慢性鼻炎反复的鼻塞、流涕、喷嚏等症状会影响到日常的社交和生活，鼻塞还会加重鼾症及睡眠缺氧，小孩长期因鼻塞而张口呼吸，还可能造成智力及面部发育不良。此外，长期炎症还会对耳部、眼部产生刺激，导致中耳炎、泪囊炎等，变应性鼻炎常和支气管哮喘同时存在
[1]
。
鼻炎是否会恶变为肿瘤？
目前没有证据证明鼻炎会恶变，一般不用担心。但肿瘤的发病原因仍不清楚，可能跟长期慢性炎症刺激有关，也不能完全排除与鼻炎的相关性。
另外，很多鼻腔鼻窦的恶性肿瘤，会有类似于鼻炎的表现，需要医生进一步检查、鉴别，因此应及时就诊。"
手足口病,"手足口病都有哪些表现？
手足口病主要表现为手、足、口腔等部位的斑丘疹、疱疹，可伴有其他非特异性症状，如咳嗽、流涕、食欲不振、低热、头痛、口腔及咽喉痛等。
手掌部位皮损初为粉红色斑疹，很快进展为水疱，水疱不疼不痒，疱壁薄，内容清亮，周围绕以红晕。
口腔病损位于腭弓前方，最常见于舌和颊黏膜，较少见于唇龈沟及软、硬腭，偶尔见于悬雍垂、唇和扁桃体，开始为红色斑疹，之后进展为水疱，周围有一圈细细的红斑状晕环。水疱溃破后可形成灰白色溃烂或浅溃疡。
此外，部分患儿还可出现精神差、拒食、嗜睡、易惊、呕吐、呼吸急促、心率增快，以及脑膜炎、脑炎、脑脊髓炎、肺水肿、循环障碍相关的表现
[2]
。
手足口病患者有时候会惊跳代表什么？
手足口病有惊跳提示神经系统损害，一般在高热时发生，偶有惊厥。惊跳即表现为四肢的阵挛，通俗的讲为「像被吓到一样」肢体的抖动。另外注意是否出现其它神经系统损害症状，如孩子出现嗜睡、呕吐、头痛等表现，有时会伴有肢体抖动、站立不稳或肌阵挛（就是肌肉在抽搐）。
手足口病是不是疱疹越多越严重？
手足口病的皮疹多少与病情轻重无直接关系。无论是皮疹少的或皮疹多的病例均有出现重症的情况，皮疹的多少与卫生习惯有很大关系
[1]
。
手足口病危险吗？
手足口病分为普通型及重型。轻型（普通型）患者仅表现为皮疹及发热，预后好，无明显后遗症。而重型患者可有神经系统表现，尤其累及心肺功能的情况下，有一定的危险性，预后较差，需要抓紧治疗
[2]
。
手足口病情严重的表现有什么？
当出现以下情况时，常提示该患者可能为重症病例，正在处于心功能衰竭前期
[1]
，需立即前往医院就诊，若未及时就诊，很快就会进展为心功能衰竭期。
持续高热：体温（腋温＞39℃），常规退热效果不佳；
神经系统表现：出现精神差、嗜睡、头痛、呕吐、易惊、肢体抖动、无力、站立或坐立不稳、颈项强直（脖子僵硬的感觉）等，极个别病例出现食欲亢进；
呼吸异常：呼吸增快/减慢或节律不整齐
循环功能障碍：出冷汗、四肢发凉、皮肤花纹、心率增快（＞160 次 / 分）、血压升高。
幼儿园有此疾病流行时，需要及时就诊。
手足口病治疗后会有后遗症吗？
一般情况下不会出现后遗症，据临床观察的病例，部分严重神经系统损害的患儿可遗留有肢体瘫痪、吞咽障碍等症状。但家长也不必太过担心，大部分经过治疗的患儿恢复良好
[4]
。"
痱子,"痱子有哪些常见表现？
痱子有三种主要类型，包括晶形粟粒疹、红色粟粒疹和深部粟粒疹。
晶形粟粒疹，又称白痱
由汗腺导管浅表的阻塞引起，其特征是有表浅、透明的 1～2 mm 水疱，似水滴，轻擦易破，水疱可融合，不会引起明显的炎症反应，所以周围无红斑。
水疱往往成片，最常见于新生儿的头部、颈部和躯干上部以及成人的躯干。发病区域通常无瘙痒。
在高温闷热的诱发环境中，水疱可在数日至数周内成批出现，并在数小时至数日内消退（一般 1～2 天），干后有细小鳞屑
[1,2]
。
红色粟粒疹，又称红痱
是最常见的类型，通常发生在表皮内，汗液渗漏引起汗管周围组织炎症。它的特征为 2～4 mm 的红色丘疹（非毛囊性），也可能是丘疱疹或脓疱，底部常常有红斑。
在婴儿中，最常见于颈部、腋窝或腹股沟的皮肤褶皱处；在成人中，常见于衣物摩擦区域：躯干上部（特别是背部）、头皮、颈部和皮肤褶皱部位。面部和掌跖一般不会发生。
红色粟粒疹通常伴有伴有灼热和刺痒感，随出汗而加重。红色粟粒疹可出现感染，导致脓疱疮或多发脓肿。
此外，红色粟粒疹还有一个亚型：脓疱性粟粒疹（脓痱）[2]。表现为痱子顶端有针头大小的小脓疱，当出现脓疱时，可能存在细菌。常见于四肢屈侧（即四肢弯曲起来的一面，如果是上肢，就是手掌心的一面）、会阴等褶皱部位，和小儿头部
[2,4]
。
深部粟粒疹，又称深痱
通常发生于红色粟粒疹反复发作后，是汗腺导管内更深处（在真皮 - 表皮交界处）阻塞所致。汗液渗出至周围组织导致直径 1～4 mm 的红色至肤色的坚硬丘疹。
深部粟粒疹较罕见，最常见于成年男性，特别是驻扎在热带气候区的军事人员。往往发生于躯干，但也可出现在四肢。由于汗液被堵塞于皮肤深部，所以受累区域极少出汗，又称为热带无汗症。
皮疹一般无症状，或者轻微，在出汗时症状可能变得明显。全身皮肤出汗减少或无汗，一般没有瘙痒，皮肤损害程度较广泛时，可能会出现头痛、发热（成人口腔温度超过 37.2 °C）等全身症状
[1,2]
。"
抽动障碍,"抽动障碍的症状有哪些？
通常头面部是最早出现抽动的部位，如皱眉、眨眼、耸鼻、撅嘴、点头等。后续情况加重后，症状可逐步向上肢、躯干或者下肢发展，出现甩手、跺脚、踢腿、耸肩、腹肌收缩等表现
[5]
，甚至出现一侧投掷样运动、转圈等。抽动频繁者一日可达十几次至数百次。
由于发声器官和膈肌的抽动，患者还会发出清嗓子声和各种怪声，如猴叫声、鸡叫声、打嗝声等，甚至是骂人、说下流话等异常情况。
此外，还可能伴随有轻至中度的行为异常，如无法集中注意力、学习能力差、出现强迫行为、焦躁不安，甚至出现破坏性行为，但智商一般不受影响。
抽动障碍患者自己能控制抽动吗？
能。
患者可以用意志控制可在短时间内使抽动不发作。
抽动障碍患者入睡时还会抽动吗？
不会。
患者入睡时抽动消失
[1]
。"
电解质紊乱,"电解质紊乱有哪些表现？
低钠血症
：
急性低钠早期最早的表现常为恶心、不适，严重的可进一步表现为头痛、嗜睡、意识模糊，最终可出现癫痫发作、昏迷和呼吸停止等。
慢性低钠可表现为乏力、恶心、头晕、呕吐、走路不稳、健忘、意识模糊、嗜睡、肌肉痛性痉挛等。
高钠血症
：
急性高钠早期可表现为嗜睡、乏力、软弱无力、烦躁、易激惹，进一步发展，可表现为颤动、抽搐、癫痫样发作和昏迷等。
慢性高钠（指高钠血症持续超过 1 天）的表现和急性高钠比较而言，表现轻一些、不太明显些。
低钾血症
：
低钾表现的严重程度与钾降低的程度和速度是明显相关的。可以表现为肌无力，通常从下肢开始，逐步发展到躯干和上肢，严重的可出现麻痹、肌肉痛性痉挛、肌肉溶解；
累及到呼吸肌，出现出现呼吸肌无力，严重导致呼吸肌衰竭和死亡；累及胃肠道肌肉，导致胃肠蠕动减慢消失，出现腹胀、厌食、恶心、呕吐等。
可以出现各种类型的心律失常，表现为心慌等。可以影响到肾脏，出现尿多、酸碱紊乱等。低钾时胰岛素分泌减少，可以出现血糖的异常。
高钾血症
：
早期表现可有肢体麻木感觉、极度疲乏、肌肉酸痛、肢体苍白和湿冷，其他一些表现可以与引起高钾的病因有关，比如糖尿病没有很好地控制导致的高血钾，常常还会出现高血糖的多尿、多饮的表现。
严重的表现为肌无力、肌麻痹、心跳徐缓、心跳不齐、烦躁不安、昏厥、神志不清及导致猝死。
低钙血症
：
当血钙下降严重或下降速度很快的时候，可以出现自发性的手足抽搐、腹痛、支气管哮喘、甚至喉部痉挛、癫痫大发作等，如果处理不当可以致死。
慢性低钙血症患者可感到口唇、鼻部、四肢麻木或刺痛，肌肉颤动，轻叩耳前面部的皮肤可以引起这一侧的口唇、鼻侧以及眼周的肌肉收缩；如果用血压计的袖带绑住胳膊上臂充气，将压力维持到一定程度，三分钟以内可见到这只手的手指向手掌心收紧。
长期的低钙血症患者可有记忆力减退，性格改变，抑郁焦虑，精神错乱，儿童智力障碍，有些患者可出现心力衰竭。
慢性低血钙，还可有皮肤干燥、皮屑增多、色素沉着、指甲易碎、指甲横沟、秃发、头发稀疏，可发生白内障，另外免疫功能降低容易感染念珠菌，儿童可出现牙齿发育不全。
高钙血症
：
一般表现有食欲减退、恶心呕吐、腹痛、便秘，甚至肠梗阻。病情继续发展为头痛、肌无力、抑郁、易激动、步态不稳、语言障碍、听力和视力障碍、定向力丧失、木僵、精神行为异常等神经精神表现。
高血钙可导致消化性溃疡，急性胰腺炎，肺部感染、呼吸困难、甚至呼吸衰竭；影响到肾脏可以出现口渴、多饮、多尿、脱水、肾石病，甚至肾衰竭；可以发生高血压和各种心跳紊乱，没有及时治疗可发生致命性心律紊乱。
低镁血症
：
可有神经肌肉方面的表现，包括神经肌肉兴奋性过高（如震颤、手足搐搦、惊厥)、肌无力、情感淡漠、谵妄和昏迷；心血管方面的表现，包括心电图异常、心律不规则；
常合并有钙、钾等异常，出现相应的表现。此外低镁与高血压、偏头痛和哮喘有一定的联系。
高镁血症
：
表现为心跳过缓、恶心呕吐、皮肤血管扩张、尿潴留，病情发展可以出现嗜睡、木僵、精神错乱，再严重的出现肌肉麻痹、肌无力、呼吸抑制、心脏收缩无力、昏迷，甚至死亡。
低磷血症
：
急性低磷血症会影响氧气与血红蛋白的解离，可以导致脑缺氧，严重的引起横纹肌溶解、溶血、感染、昏迷、甚至死亡，而长期的慢性低磷血症可以导致佝偻病，骨软化症等。
高磷血症
：
高磷血症的表现通常很轻，严重高磷血症的表现因引发高磷的病因不同而不同，如果伴随有低血钙或其他代谢紊乱等情况，可以出现感觉异常、手足抽搐、腹痛、恶心呕吐、惊厥、意识障碍等。
电解质紊乱会引起抽搐吗？
电解质紊乱达到一定程度会引起抽搐，比如钠、钾、钙等电解质的异常都有可能引发抽搐。
电解质紊乱是怎么发展的？
电解质紊乱常常存在诱因，比如饮食摄入不足、呕吐腹泻、急性或慢性感染、使用一些药物（比如利尿剂）、某些遗传性疾病、内科疾病（比如肾上腺皮质功能减退、甲状旁腺疾病、慢性肾功能不全等）、外科创伤或手术等状态时都可能出现电解质紊乱。
如果没有及时发现、及时查找病因、祛除病因、积极治疗，则紊乱会渐进性加重，影响全身多个部位，严重的可导致器官衰竭而致死。
电解质紊乱会造成哪些严重后果？
急性、严重的电解质紊乱可影响到全身多个组织和器官，出现呼吸衰竭、肾功能衰竭、心跳紊乱不规则、心功能衰竭等，从而导致昏迷，甚至死亡。"
